experimental_unit_id,plot_label,block,replicate,treatment_id,female_parent,male_parent,female_sowing_date,male_sowing_offset_days,sowing_density_plants_ha,irrigation_treatment,centroid_lon,centroid_lat,geometry_wkt
EU-01-01,EU-01-01,1,1,T01,DEMO-F,DEMO-M,2026-04-01,-6,72000,Reference,33.000225,35.00015,"POLYGON((33.000000 35.000000, 33.000450 35.000000, 33.000450 35.000300, 33.000000 35.000300, 33.000000 35.000000))"
EU-01-02,EU-01-02,1,1,T04,DEMO-F,DEMO-M,2026-04-01,3,76000,Sensor-triggered,33.000675,35.00015,"POLYGON((33.000450 35.000000, 33.000900 35.000000, 33.000900 35.000300, 33.000450 35.000300, 33.000450 35.000000))"
EU-01-03,EU-01-03,1,1,T02,DEMO-F,DEMO-M,2026-04-01,-3,72000,Reference,33.001125,35.00015,"POLYGON((33.000900 35.000000, 33.001350 35.000000, 33.001350 35.000300, 33.000900 35.000300, 33.000900 35.000000))"
EU-01-04,EU-01-04,1,1,T06,DEMO-F,DEMO-M,2026-04-01,9,80000,Sensor-triggered,33.001575,35.00015,"POLYGON((33.001350 35.000000, 33.001800 35.000000, 33.001800 35.000300, 33.001350 35.000300, 33.001350 35.000000))"
EU-01-05,EU-01-05,1,1,T03,DEMO-F,DEMO-M,2026-04-01,0,76000,Reference,33.002025,35.00015,"POLYGON((33.001800 35.000000, 33.002250 35.000000, 33.002250 35.000300, 33.001800 35.000300, 33.001800 35.000000))"
EU-01-06,EU-01-06,1,1,T05,DEMO-F,DEMO-M,2026-04-01,6,80000,Sensor-triggered,33.002475,35.00015,"POLYGON((33.002250 35.000000, 33.002700 35.000000, 33.002700 35.000300, 33.002250 35.000300, 33.002250 35.000000))"
EU-02-01,EU-02-01,2,2,T05,DEMO-F,DEMO-M,2026-04-01,6,80000,Sensor-triggered,33.000225,35.00045,"POLYGON((33.000000 35.000300, 33.000450 35.000300, 33.000450 35.000600, 33.000000 35.000600, 33.000000 35.000300))"
EU-02-02,EU-02-02,2,2,T02,DEMO-F,DEMO-M,2026-04-01,-3,72000,Reference,33.000675,35.00045,"POLYGON((33.000450 35.000300, 33.000900 35.000300, 33.000900 35.000600, 33.000450 35.000600, 33.000450 35.000300))"
EU-02-03,EU-02-03,2,2,T06,DEMO-F,DEMO-M,2026-04-01,9,80000,Sensor-triggered,33.001125,35.00045,"POLYGON((33.000900 35.000300, 33.001350 35.000300, 33.001350 35.000600, 33.000900 35.000600, 33.000900 35.000300))"
EU-02-04,EU-02-04,2,2,T01,DEMO-F,DEMO-M,2026-04-01,-6,72000,Reference,33.001575,35.00045,"POLYGON((33.001350 35.000300, 33.001800 35.000300, 33.001800 35.000600, 33.001350 35.000600, 33.001350 35.000300))"
EU-02-05,EU-02-05,2,2,T04,DEMO-F,DEMO-M,2026-04-01,3,76000,Sensor-triggered,33.002025,35.00045,"POLYGON((33.001800 35.000300, 33.002250 35.000300, 33.002250 35.000600, 33.001800 35.000600, 33.001800 35.000300))"
EU-02-06,EU-02-06,2,2,T03,DEMO-F,DEMO-M,2026-04-01,0,76000,Reference,33.002475,35.00045,"POLYGON((33.002250 35.000300, 33.002700 35.000300, 33.002700 35.000600, 33.002250 35.000600, 33.002250 35.000300))"
EU-03-01,EU-03-01,3,3,T03,DEMO-F,DEMO-M,2026-04-01,0,76000,Reference,33.000225,35.00075,"POLYGON((33.000000 35.000600, 33.000450 35.000600, 33.000450 35.000900, 33.000000 35.000900, 33.000000 35.000600))"
EU-03-02,EU-03-02,3,3,T06,DEMO-F,DEMO-M,2026-04-01,9,80000,Sensor-triggered,33.000675,35.00075,"POLYGON((33.000450 35.000600, 33.000900 35.000600, 33.000900 35.000900, 33.000450 35.000900, 33.000450 35.000600))"
EU-03-03,EU-03-03,3,3,T04,DEMO-F,DEMO-M,2026-04-01,3,76000,Sensor-triggered,33.001125,35.00075,"POLYGON((33.000900 35.000600, 33.001350 35.000600, 33.001350 35.000900, 33.000900 35.000900, 33.000900 35.000600))"
